regime,strategy,annualized_active_return,tracking_error,information_ratio,hit_rate_vs_passive,downside_hit_rate,avg_period_active_return,best_active_period,worst_active_period,observations
calm,covered_call,-0.1740554370611062,0.10710949939523781,-1.6250233456776373,0.5666666666666667,1.0,-0.014504619755092185,0.017032409575275576,-0.07926305292419171,30
calm,collar,-0.23865198063970652,0.10626362682112465,-2.2458482528686265,0.5,1.0,-0.019887665053308877,0.005933060131974581,-0.08928281653811915,30
calm,stress_aware_overlay,-0.1069878142910024,0.09171642633050361,-1.166506574356351,0.26666666666666666,0.5714285714285714,-0.008915651190916868,0.017032409575275576,-0.08230954904798751,30
extreme_stress,covered_call,0.01488375476078329,0.1346941436696139,0.11050038520821721,0.8529411764705882,1.0,0.0012403128967319408,0.07339450797880656,-0.16461207252423554,34
extreme_stress,collar,0.07387372837616016,0.2524927373763342,0.29257763666308223,0.8235294117647058,1.0,0.006156144031346679,0.31282214750929727,-0.176166969191041,34
extreme_stress,stress_aware_overlay,0.033084876174500566,0.24490383335213914,0.13509333733837034,0.6470588235294118,0.75,0.002757073014541714,0.31282214750929727,-0.176166969191041,34
fragile,covered_call,-0.013344829842648578,0.07280409395022142,-0.1832977943764108,0.7619047619047619,1.0,-0.0011120691535540482,0.018364968351368388,-0.06059263555384013,21
fragile,collar,-0.06613161092452555,0.07709368003510472,-0.8578084597130714,0.7619047619047619,1.0,-0.005510967577043796,0.021953938537306733,-0.06992195669316946,21
fragile,stress_aware_overlay,-0.020227266783551134,0.05094422230238322,-0.39704731703412194,0.38095238095238093,0.5555555555555556,-0.0016856055652959279,0.021953938537306733,-0.03533976410624539,21
neutral,covered_call,-0.047432084133117246,0.08087160475960416,-0.5865109796462188,0.6666666666666666,1.0,-0.0039526736777597705,0.028354798911115954,-0.07952405663000273,21
neutral,collar,-0.07336649664759626,0.10116541349759273,-0.7252132335656597,0.6666666666666666,1.0,-0.006113874720633021,0.040950361896254374,-0.08912140022656817,21
neutral,stress_aware_overlay,-0.08342671149253064,0.07373363113555882,-1.1314607758724258,0.09523809523809523,0.1111111111111111,-0.0069522259577108865,0.010336549431531297,-0.08912140022656817,21
stress,covered_call,0.03693745815357043,0.09012278569249513,0.40985703970140763,0.8222222222222222,1.0,0.003078121512797536,0.025194837201185323,-0.13390091219429928,45
stress,collar,-0.038388659187614305,0.09602704880683995,-0.3997692281977107,0.7111111111111111,1.0,-0.003199054932301192,0.04198544396048688,-0.14074162447341848,45
stress,stress_aware_overlay,-0.058610921032153845,0.0913761137749055,-0.6414249699493139,0.6,0.8181818181818182,-0.004884243419346154,0.018257886799813085,-0.14074162447341848,45
