drawdown_bucket,strategy,avg_underlying_return,avg_call_premium_income,avg_put_protection_cost,avg_option_payoff_effect,avg_implementation_drag,avg_gross_overlay_effect,avg_net_overlay_effect,avg_net_strategy_return,positive_net_overlay_rate,observations
deep_drawdown,collar,0.0238659400079943,0.019091591102011477,-0.01823067758666914,-0.019126053432453636,-0.001,-0.0182651399171113,-0.0192651399171113,0.004600800090882998,0.25925925925925924,54
deep_drawdown,covered_call,0.0238659400079943,0.019091591102011477,0.0,-0.026217341935309595,-0.0005,-0.007125750833298116,-0.007625750833298117,0.016240189174696183,0.6666666666666666,54
deep_drawdown,stress_aware_overlay,0.0238659400079943,0.018076617180586518,-0.017258231508814073,-0.017865411030853963,-0.0009629629629629631,-0.01704702535908152,-0.01800998832204448,0.0058559516859498185,0.24074074074074073,54
moderate_drawdown,collar,-0.0026441153954847346,0.010025137801865274,-0.009484049446329247,0.001882263173536647,-0.0010000000000000002,0.0024233515290726726,0.0014233515290726713,-0.001220763866412063,0.32142857142857145,28
moderate_drawdown,covered_call,-0.0026441153954847346,0.010025137801865274,0.0,-0.007981073071209184,-0.0005000000000000001,0.002044064730656089,0.0015440647306560885,-0.001100050664828646,0.8214285714285714,28
moderate_drawdown,stress_aware_overlay,-0.0026441153954847346,0.006541288707959821,-0.004156215479507531,-0.00715434633888125,-0.0005535714285714287,-0.004769273110428958,-0.005322844539000387,-0.00796695993448512,0.21428571428571427,28
near_peak,collar,0.0070947584662968645,0.009035703117099524,-0.008530525182432396,-0.005111414099951797,-0.001,-0.004606236165284669,-0.00560623616528467,0.0014885223010121951,0.18,50
near_peak,covered_call,0.0070947584662968645,0.009035703117099524,0.0,-0.011052109794154812,-0.0005,-0.002016406677055287,-0.002516406677055288,0.004578351789241576,0.74,50
near_peak,stress_aware_overlay,0.0070947584662968645,0.0035900758860999958,-0.0015302620470408852,-0.0030745671445556668,-0.00025,-0.0010147533054965549,-0.001264753305496555,0.005830005160800309,0.2,50
shallow_drawdown,collar,0.000499280427291879,0.010473923097685139,-0.009915122995631711,0.007029603907372319,-0.001,0.007588404009425751,0.006588404009425749,0.007087684436717627,0.23529411764705882,17
shallow_drawdown,covered_call,0.000499280427291879,0.010473923097685139,0.0,-0.016257726545777187,-0.0005,-0.005783803448092047,-0.006283803448092045,-0.005784523020800166,0.6470588235294118,17
shallow_drawdown,stress_aware_overlay,0.000499280427291879,0.0060251530012289944,-0.004925007601530146,0.012126920189996507,-0.00047058823529411766,0.013227065589695356,0.012756477354401238,0.013255757781693118,0.17647058823529413,17
unknown,collar,0.008139881330564137,0.011383405779415056,-0.010781290310139592,-0.0022141558173976823,-0.001,-0.0016120403481222178,-0.002612040348122218,0.005527840982441917,0.2,5
unknown,covered_call,0.008139881330564137,0.011383405779415056,0.0,-0.006890613229117914,-0.0005,0.004492792550297142,0.003992792550297141,0.012132673880861278,0.8,5
unknown,stress_aware_overlay,0.008139881330564137,0.0,0.0,0.0,0.0,0.0,0.0,0.008139881330564137,0.0,5
