regime,strategy,avg_underlying_return,avg_call_premium_income,avg_put_protection_cost,avg_option_payoff_effect,avg_implementation_drag,avg_gross_overlay_effect,avg_net_overlay_effect,avg_net_strategy_return,positive_net_overlay_rate,observations
calm,collar,0.010743483626257568,0.008161576902349369,-0.007692577586184189,-0.008236487078824262,-0.001,-0.007767487762659081,-0.008767487762659081,0.0019759958635984847,0.18181818181818182,33
calm,covered_call,0.010743483626257568,0.008161576902349369,0.0,-0.01306019778110936,-0.0005,-0.004898620878759993,-0.0053986208787599925,0.005344862747497575,0.696969696969697,33
calm,stress_aware_overlay,0.010743483626257568,0.0,0.0,0.0,0.0,0.0,0.0,0.010743483626257568,0.0,33
extreme_stress,collar,0.02000461076218431,0.019892284021606154,-0.019010949338300904,-0.013879597727581128,-0.001,-0.012998263044275874,-0.013998263044275875,0.006006347717908436,0.22857142857142856,35
extreme_stress,covered_call,0.02000461076218431,0.019892284021606154,0.0,-0.028928786319203256,-0.0005,-0.009036502297597098,-0.009536502297597099,0.010468108464587214,0.6,35
extreme_stress,stress_aware_overlay,0.02000461076218431,0.019892284021606154,-0.019010949338300904,-0.013879597727581128,-0.001,-0.012998263044275874,-0.013998263044275875,0.006006347717908436,0.22857142857142856,35
fragile,collar,-0.012058884725580513,0.009606584376174628,-0.00907936434569929,0.0038378346481962302,-0.001,0.004365054678671566,0.0033650546786715666,-0.008693830046908947,0.3333333333333333,18
fragile,covered_call,-0.012058884725580513,0.009606584376174628,0.0,-0.008590545089335915,-0.0005,0.0010160392868387108,0.0005160392868387104,-0.011542845438741803,0.8333333333333334,18
fragile,stress_aware_overlay,-0.012058884725580513,0.009606584376174628,0.0,-0.008590545089335915,-0.0005,0.0010160392868387108,0.0005160392868387104,-0.011542845438741803,0.8333333333333334,18
neutral,collar,-0.0008482432034811888,0.011993815760027877,-0.011381631937811427,0.0013948379718972785,-0.001,0.0020070217941137295,0.0010070217941137293,0.00015877859063254002,0.3333333333333333,24
neutral,covered_call,-0.0008482432034811888,0.011993815760027877,0.0,-0.008642598908340219,-0.0005,0.0033512168516876568,0.0028512168516876563,0.002002973648206469,0.875,24
neutral,stress_aware_overlay,-0.0008482432034811888,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008482432034811888,0.0,24
stress,collar,0.018213001186154376,0.013001735167570026,-0.012344853173629454,-0.010732019888164678,-0.001,-0.010075137894224104,-0.011075137894224105,0.007137863291930271,0.20454545454545456,44
stress,covered_call,0.018213001186154376,0.013001735167570026,0.0,-0.01584318600625416,-0.0005,-0.0028414508386841357,-0.003341450838684136,0.01487155034747024,0.7045454545454546,44
stress,stress_aware_overlay,0.018213001186154376,0.013001735167570026,-0.012344853173629454,-0.010732019888164678,-0.001,-0.010075137894224104,-0.011075137894224105,0.007137863291930271,0.20454545454545456,44
