regime,strategy,average_period_return,median_period_return,best_period,worst_period,positive_hit_rate,observations
calm,passive_brazil_equity,0.03813047069109436,0.032868879302725085,0.12497796695106445,-0.04072396336720363,0.7666666666666667,30
calm,covered_call,0.02362585093600218,0.03449718137217591,0.047849776824696516,-0.03453876312719764,0.8,30
calm,collar,0.01824280563778549,0.03192400512192718,0.036077124977786645,-0.03761549673866084,0.7666666666666667,30
calm,stress_aware_overlay,0.0292148195001775,0.031343288449456205,0.10576197758677441,-0.04072396336720363,0.8,30
extreme_stress,passive_brazil_equity,-0.010437206489183018,-0.010427969525946545,0.21219828748684244,-0.35920579382264195,0.38235294117647056,34
extreme_stress,covered_call,-0.009196893592451079,0.001846070589614481,0.10572639763469069,-0.35162954367495824,0.5294117647058824,34
extreme_stress,collar,-0.004281062457836338,-0.00627382195703804,0.041087058525976786,-0.04651168808537032,0.47058823529411764,34
extreme_stress,stress_aware_overlay,-0.007680133474641306,-0.00627382195703804,0.041087058525976786,-0.14326862034026705,0.47058823529411764,34
fragile,passive_brazil_equity,0.00937168508546214,0.004882705961052336,0.10543733250389975,-0.06639272312468913,0.5714285714285714,21
fragile,covered_call,0.008259615931908092,0.01363139101106481,0.04484469695005962,-0.05132048923138329,0.6190476190476191,21
fragile,collar,0.0038607175084183452,0.008962749533769247,0.03551537581073029,-0.045120400055923056,0.5714285714285714,21
fragile,stress_aware_overlay,0.007686079520166213,0.004882705961052336,0.10543733250389975,-0.05266378816259487,0.5714285714285714,21
neutral,passive_brazil_equity,0.011109041447375609,0.006625724633727792,0.1247041343012043,-0.08341076585058749,0.5714285714285714,21
neutral,covered_call,0.00715636776961584,0.016181833177114552,0.05330230737210764,-0.07375977388222762,0.6190476190476191,21
neutral,collar,0.0049951667267425885,0.011083863853368691,0.03691067579686894,-0.04610986519048622,0.5714285714285714,21
neutral,stress_aware_overlay,0.004156815489664724,0.007510383063586534,0.07680404964552978,-0.08341076585058749,0.5714285714285714,21
stress,passive_brazil_equity,0.006706463600012574,0.0018874906129497937,0.17553816972816172,-0.08724835008675125,0.5111111111111111,45
stress,covered_call,0.009784585112810112,0.015938711600334717,0.0734660052790696,-0.07584851537027329,0.6222222222222222,45
stress,collar,0.0035074086677113815,0.0072381637427141364,0.0389695444928383,-0.04757626826361771,0.5333333333333333,45
stress,stress_aware_overlay,0.0018222201806664207,0.0072381637427141364,0.0389695444928383,-0.07584851537027329,0.5333333333333333,45
